CardID;CardNumber;CardTypeID;ValidFrom;ValidTo
;045e5d44c2;1;2010.01.01;
;07c681676a;1;2010.01.01;
;162675bde7;1;2010.01.01;
;193a1e64aa;1;2010.01.01;
;196a8da0b6;1;2010.01.01;
;1a6f24fb10;1;2010.01.01;
;1bfeffa75b;1;2010.01.01;
;1c03ee92b8;2;2010.01.01;
;1e80a46c65;1;2010.01.01;
;21a0ebd0ac;1;2010.01.01;
;289eab0a6d;4;2010.01.01;
;2b6a1a7b96;1;2010.01.01;
;2cdd31fd12;1;2010.01.01;
;2d2eb6804f;1;2010.01.01;
;31875802fd;2;2010.01.01;
;34a830bb64;1;2010.01.01;
;357a59db91;1;2010.01.01;
;36692821f3;1;2010.01.01;
;3c09508c9e;1;2010.01.01;
;3c25f3ede0;1;2010.01.01;
;40b3f1f91a;1;2010.01.01;
;42b62f23a3;1;2010.01.01;
;4347b22fe1;1;2010.01.01;
;478c804ee7;1;2010.01.01;
;48ca7b159e;1;2010.01.01;
;4e5a32ff1b;1;2010.01.01;
;4ef211d0a2;1;2010.01.01;
;5308d7c10e;1;2010.01.01;
;5409b85f85;1;2010.01.01;
;57737855df;1;2010.01.01;
;5860e61f5a;1;2010.01.01;
;5e9c3d7faa;1;2010.01.01;
;6240a41ce3;4;2010.01.01;
;677b7ec8cb;1;2010.01.01;
;69c8597c7d;1;2010.01.01;
;69cee5c814;1;2010.01.01;
;727cb65656;1;2010.01.01;
;741bfe76bd;1;2010.01.01;
;7a3be4abb1;1;2010.01.01;
;7b148b9578;1;2010.01.01;
;7d716182c6;3;2010.01.01;2019.12.31
;7e2e468717;1;2010.01.01;
;800dd7a1af;1;2010.01.01;
;81dded4194;3;2010.01.01;2019.12.31
;839b469d04;2;2010.01.01;
;855b42c356;1;2010.01.01;
;87b16f0747;1;2010.01.01;
;88c74b51c6;1;2010.01.01;
;8be257a483;1;2010.01.01;
;91038cf879;1;2010.01.01;
;9385ef53e6;1;2010.01.01;
;96b25da4a0;1;2010.01.01;
;9a30f38363;3;2010.01.01;2019.12.31
;a0e3a5289e;1;2010.01.01;
;a2ccb8b607;1;2010.01.01;
;a2fa63aa82;3;2010.01.01;2019.12.31
;a5420c1c9c;1;2010.01.01;
;a69ece2ab2;1;2010.01.01;
;a72afd07e0;1;2010.01.01;
;ab2939bb86;1;2010.01.01;
;accbaa3fa5;1;2010.01.01;
;aea63bb1bd;1;2010.01.01;
;b1799a8d23;1;2010.01.01;
;b2987968a9;1;2010.01.01;
;b36f3f6efa;1;2010.01.01;
;b4b7b76a7a;1;2010.01.01;
;b51661dd68;1;2010.01.01;
;b5321f30b3;1;2010.01.01;
;b693cacf86;1;2010.01.01;
;ba12814ea4;1;2010.01.01;
;bf1a1c88d6;1;2010.01.01;
;c3f7eeb3a1;1;2010.01.01;
;c5667f7fbf;4;2010.01.01;
;c63b6397e0;1;2010.01.01;
;c64b9afd53;1;2010.01.01;
;c7244ab3c5;2;2010.01.01;
;ca59fda247;1;2010.01.01;
;ca8aac0140;1;2010.01.01;
;cace51a73b;1;2010.01.01;
;cd70755016;1;2010.01.01;
;cd809c4ee9;1;2010.01.01;
;cf6046a712;1;2010.01.01;
;cfaa08d9a1;1;2010.01.01;
;d1156a78f4;1;2010.01.01;
;d1d923be12;1;2010.01.01;
;d4ad6bd34f;1;2010.01.01;
;d71287f91c;1;2010.01.01;
;d7a26a01b1;3;2010.01.01;2019.12.31
;d9477eb4ea;1;2010.01.01;
;dd394e26bb;1;2010.01.01;
;e26b4fb370;2;2010.01.01;
;e34a325281;1;2010.01.01;
;e46c601b59;1;2010.01.01;
;e6c519039b;4;2010.01.01;
;e86b4f550a;1;2010.01.01;
;e8e5b61058;1;2010.01.01;
;e9486aeca9;1;2010.01.01;
;ea55ec9fa4;1;2010.01.01;
;ea8f1c1836;1;2010.01.01;
;eba0e1ba84;1;2010.01.01;
;ee1b485527;1;2010.01.01;
;f00874be4c;1;2010.01.01;
;f274156978;1;2010.01.01;
;f329274f93;1;2010.01.01;
;f4f0cc021b;3;2010.01.01;2019.12.31
;f7b76173a8;1;2010.01.01;
;f851e578d1;1;2010.01.01;
;fd2ae7101b;1;2010.01.01;
;fe203946d0;1;2010.01.01;
;ffcc6a8905;1;2010.01.01;
